City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Belyy Yar,RU,2022-03-22 02:48:42,53.6039,91.3903,26.49,68,100,4.47
173,Naze,JP,2022-03-22 02:47:52,28.3667,129.4833,63.52,86,98,16.75
174,Nouadhibou,MR,2022-03-22 02:48:42,20.931,-17.0347,60.78,88,0,18.41
175,Ilulissat,GL,2022-03-22 02:48:43,69.2167,-51.1,-17.37,76,36,5.03
176,Aksu,CN,2022-03-22 02:48:43,41.1231,80.2644,42.58,75,76,3.71
177,Taltal,CL,2022-03-22 02:45:26,-25.4,-70.4833,66.43,75,1,4.61
178,Patrocinio,BR,2022-03-22 02:48:43,-18.9439,-46.9925,60.6,89,20,9.19
179,Meghraj,IN,2022-03-22 02:44:37,23.5,73.5,84.13,12,7,3.29
180,Antalaha,MG,2022-03-22 02:48:44,-14.9003,50.2788,74.91,89,56,6.71
181,Touros,BR,2022-03-22 02:44:24,-5.1989,-35.4608,76.89,89,99,6.69
182,Tura,IN,2022-03-22 02:49:44,25.5198,90.2201,84.7,30,10,3.94
183,Misawa,JP,2022-03-22 02:49:45,40.6836,141.3597,40.33,48,85,2.51
184,Tutoia,BR,2022-03-22 02:49:45,-2.7619,-42.2744,77.92,89,100,8.23
185,Sarkand,KZ,2022-03-22 02:49:45,45.41,79.9186,32.23,93,100,7.11
186,Moose Factory,CA,2022-03-22 02:49:46,51.2585,-80.6094,14.0,57,0,6.91
187,Natal,BR,2022-03-22 02:47:42,-5.795,-35.2094,77.22,100,75,9.22
188,Kaitangata,NZ,2022-03-22 02:49:46,-46.2817,169.8464,62.24,83,100,13.06
189,Kieta,PG,2022-03-22 02:49:47,-6.2167,155.6333,86.14,65,86,5.55
190,Kutum,SD,2022-03-22 02:49:47,14.2,24.6667,67.1,11,0,6.35
191,La Ronge,CA,2022-03-22 02:49:47,55.1001,-105.2842,34.05,93,100,11.5
192,Taldan,RU,2022-03-22 02:49:48,53.6667,124.8,28.98,55,0,10.02
193,Buraydah,SA,2022-03-22 02:49:48,26.326,43.975,55.85,39,0,2.15
194,Dunedin,NZ,2022-03-22 02:49:45,-45.8742,170.5036,59.81,96,100,5.01
195,Lovozero,RU,2022-03-22 02:49:49,68.005,35.0117,30.43,78,100,22.84
196,Cockburn Town,TC,2022-03-22 02:44:55,21.4612,-71.1419,77.45,70,4,19.19
197,Utica,US,2022-03-22 02:49:49,43.1009,-75.2327,40.64,66,26,1.99
198,Nagyhegyes,HU,2022-03-22 02:49:50,47.5395,21.3444,33.94,68,0,7.52
199,Port Hedland,AU,2022-03-22 02:49:50,-20.3167,118.5667,104.05,24,75,3.44
200,Olafsvik,IS,2022-03-22 02:49:50,64.8945,-23.7142,37.29,94,100,19.66
201,Talnakh,RU,2022-03-22 02:49:51,69.4865,88.3972,-6.61,91,74,3.27
202,Roma,US,2022-03-22 02:49:51,43.2128,-75.4557,40.68,62,0,4.0
